MatchID,Date,Team1,Team2,Winner,Venue,City,TossWinner,TossDecision,PlayerOfMatch
1273754,2021-11-10,England,New Zealand,New Zealand,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,New Zealand,field,DJ Mitchell
1273755,2021-11-11,Pakistan,Australia,Australia,Dubai International Cricket Stadium,Dubai,Australia,field,MS Wade
1273756,2021-11-14,New Zealand,Australia,Australia,Dubai International Cricket Stadium,Dubai,Australia,field,MR Marsh
1298135,2022-10-16,Namibia,Sri Lanka,Namibia,"GMHBA Stadium, South Geelong, Victoria",Geelong,Sri Lanka,field,JN Frylinck
1298136,2022-10-16,United Arab Emirates,Netherlands,Netherlands,"GMHBA Stadium, South Geelong, Victoria",Geelong,United Arab Emirates,bat,BFW de Leede
1298137,2022-10-17,Scotland,West Indies,Scotland,"Bellerive Oval, Hobart",Hobart,West Indies,field,HG Munsey
1298138,2022-10-17,Zimbabwe,Ireland,Zimbabwe,"Bellerive Oval, Hobart",Hobart,Ireland,field,Sikandar Raza
1298139,2022-10-18,Namibia,Netherlands,Netherlands,"GMHBA Stadium, South Geelong, Victoria",Geelong,Namibia,bat,BFW de Leede
1298140,2022-10-18,Sri Lanka,United Arab Emirates,Sri Lanka,"GMHBA Stadium, South Geelong, Victoria",Geelong,United Arab Emirates,field,P Nissanka
1298141,2022-10-19,Scotland,Ireland,Ireland,"Bellerive Oval, Hobart",Hobart,Scotland,bat,C Campher
1298142,2022-10-19,West Indies,Zimbabwe,West Indies,"Bellerive Oval, Hobart",Hobart,West Indies,bat,AS Joseph
1298143,2022-10-20,Sri Lanka,Netherlands,Sri Lanka,"GMHBA Stadium, South Geelong, Victoria",Geelong,Sri Lanka,bat,BKG Mendis
1298144,2022-10-20,United Arab Emirates,Namibia,United Arab Emirates,"GMHBA Stadium, South Geelong, Victoria",Geelong,United Arab Emirates,bat,Waseem Muhammad
