Batter,Runs,Balls,Fours,Sixes,StrikeRate
Saad Bin Zafar,27,41,3.0,0.0,65.85365853658537
Sabbir Rahman,171,151,18.0,5.0,113.24503311258277
Saeed Ajmal,1,3,0.0,0.0,33.333333333333336
Sagar Pun,25,33,4.0,0.0,75.75757575757575
Sahibzada Farhan,383,243,37.0,18.0,157.61316872427983
Saim Ayub,93,82,10.0,5.0,113.41463414634147
Salman Mirza,2,3,0.0,0.0,66.66666666666667
Sandeep Goud,9,16,0.0,0.0,56.25
Sarfraz Ahmed,21,17,1.0,0.0,123.52941176470588
Shadab Khan,263,180,19.0,12.0,146.11111111111111
Shafiq Jan,0,1,0.0,0.0,0.0
Shah Faisal,15,17,2.0,0.0,88.23529411764706
Shaheen Shah Afridi,101,75,6.0,7.0,134.66666666666666
Shahid Afridi,158,92,11.0,12.0,171.7391304347826
Shaiman Anwar,68,54,5.0,3.0,125.92592592592592
Shakeel Ahmed,36,40,4.0,0.0,90.0
Shakib Al Hasan,591,515,49.0,18.0,114.75728155339806
Shamim Hossain,30,40,1.0,1.0,75.0
Shamsur Rahman,4,14,0.0,0.0,28.571428571428573
Shan Masood,175,156,12.0,1.0,112.17948717948718
Shariz Ahmad,25,20,3.0,0.0,125.0
Sharjeel Khan,112,81,18.0,3.0,138.2716049382716
Shayan Jahangir,94,77,8.0,5.0,122.07792207792208
Shoaib Khan,75,73,5.0,5.0,102.73972602739725
Shoaib Malik,229,152,14.0,11.0,150.6578947368421
Shoriful Islam,0,2,0.0,0.0,0.0
Shubham Ranjane,141,82,9.0,8.0,171.9512195121951
Shuvagata Hom,29,28,3.0,1.0,103.57142857142857
Sikandar Raza,466,323,39.0,24.0,144.27244582043343
Simi Singh,17,22,1.0,0.0,77.27272727272727
Sohag Gazi,11,21,0.0,0.0,52.38095238095238
Sohaib Maqsood,45,41,3.0,2.0,109.7560975609756
Sohail Tanvir,14,12,1.0,1.0,116.66666666666667
Sompal Kami,34,26,4.0,1.0,130.76923076923077
Soumya Sarkar,151,158,15.0,4.0,95.56962025316456
Sufyan Mehmood,36,51,3.0,0.0,70.58823529411765
Sultan Ahmed,2,5,0.0,0.0,40.0
Suraj Kumar,4,7,0.0,0.0,57.142857142857146
Syed Haider,6,15,0.0,0.0,40.0
Syed Naqvi,6,11,0.0,0.0,54.54545454545455
T Banton,155,114,11.0,7.0,135.96491228070175
T Bavuma,161,150,12.0,4.0,107.33333333333333
T Maruma,35,23,3.0,1.0,152.17391304347825
T Marumani,131,97,20.0,4.0,135.05154639175257
T Munyonga,42,42,3.0,2.0,100.0
T Musekiwa,8,8,0.0,1.0,100.0
T Shamsi,1,2,0.0,0.0,50.0
T Stubbs,330,297,20.0,10.0,111.11111111111111
T van der Gugten,8,13,0.0,0.0,61.53846153846154
TA Boult,10,12,0.0,1.0,83.33333333333333
TAM Siriwardana,22,21,2.0,1.0,104.76190476190476
TC Bruce,65,57,2.0,3.0,114.03508771929825
TG Southee,5,5,1.0,0.0,100.0
TH David,91,68,8.0,4.0,133.8235294117647
TH Tector,5,4,1.0,0.0,125.0
TJ Draca,7,8,1.0,0.0,87.5
TJG Pringle,54,75,1.0,1.0,72.0
TL Chatara,13,19,1.0,0.0,68.42105263157895
TL Seifert,277,169,29.0,13.0,163.90532544378698
TLW Cooper,353,295,31.0,13.0,119.66101694915254
TM Dilshan,182,180,18.0,5.0,101.11111111111111
TM Head,366,233,43.0,18.0,157.08154506437768
TP Ura,6,21,0.0,0.0,28.571428571428573
TT Bresnan,39,18,3.0,3.0,216.66666666666666
Tamim Iqbal,357,286,30.0,15.0,124.82517482517483
Tanwir Afzal,0,16,0.0,0.0,0.0
Tanzid Hasan,76,78,11.0,1.0,97.43589743589743
Tanzim Hasan Sakib,9,14,0.0,0.0,64.28571428571429
Taskin Ahmed,59,75,5.0,1.0,78.66666666666667
Tilak Varma,207,136,18.0,11.0,152.2058823529412
Towhid Hridoy,139,115,7.0,8.0,120.8695652173913
UT Khawaja,143,106,22.0,2.0,134.9056603773585
Umar Akmal,206,156,15.0,6.0,132.05128205128204
Umar Gul,4,7,0.0,0.0,57.142857142857146
Usman Khan,80,70,8.0,2.0,114.28571428571429
Usman Tariq,0,3,0.0,0.0,0.0
V Aravind,48,75,3.0,0.0,64.0
V Kohli,1083,852,91.0,30.0,127.11267605633803
V Shetty,11,14,1.0,0.0,78.57142857142857
V Shukla,38,33,5.0,0.0,115.15151515151516
V Sibanda,45,52,1.0,2.0,86.53846153846153
VJ Kingma,1,1,0.0,0.0,100.0
Vikramjit Singh,124,136,10.0,5.0,91.17647058823529
W Barresi,160,136,11.0,8.0,117.6470588235294
W Madhevere,106,89,15.0,2.0,119.10112359550561
WD Parnell,5,15,0.0,0.0,33.333333333333336
WG Jacks,241,155,20.0,14.0,155.48387096774192
WIA Fernando,52,64,1.0,2.0,81.25
WP Masakadza,6,15,0.0,0.0,40.0
WP Myburgh,12,19,0.0,0.0,63.1578947368421
WTS Porterfield,145,129,14.0,5.0,112.40310077519379
Wahab Riaz,0,1,0.0,0.0,0.0
Waqas Barkat,18,22,3.0,0.0,81.81818181818181
Waseem Muhammad,185,164,10.0,8.0,112.8048780487805
Washington Sundar,11,11,0.0,1.0,100.0
Wasim Ali,62,61,4.0,3.0,101.63934426229508
XC Bartlett,11,10,2.0,0.0,110.0
YS Samra,127,81,14.0,6.0,156.79012345679013
Yasir Ali Chowdhury,5,9,0.0,0.0,55.55555555555556
Yuvraj Singh,152,160,11.0,6.0,95.0
ZB Lion-Cachet,41,29,3.0,1.0,141.3793103448276
ZE Green,155,193,10.0,2.0,80.31088082901555
Zahoor Khan,1,1,0.0,0.0,100.0
Zawar Farid,2,4,0.0,0.0,50.0
Zeeshan Maqsood,112,119,13.0,2.0,94.11764705882354
Ziaur Rahman,9,15,0.0,0.0,60.0
Zulfiqar Babar,3,4,0.0,0.0,75.0
